ResponseID	ResponseSet	StartDate	EndDate	Finished	code	gender	firstasktreat	thankyouemploy	Q40	vignettebackground	interviewers	answersmatter	salaryrequest1	medsalaryguess	medsalarytold	Q35	vignetteagain	Q36	salaryrequest2	Q23	anspctgradjob	guesspctwork	anspctwork	guessavgsalary	ansavgsalary	Q17_1_TEXT	Q17_2_TEXT	Q17_3_TEXT	Q17_4_TEXT	Q18_1_TEXT	Q18_2_TEXT	Q18_3_TEXT	Q18_4_TEXT	current_happiness_1	ask_stc_10_mx25	ask_cruk_10_mx25a	Q19	DO-BR-FL_21	DO-BR-FL_22	DO-BR-FL_100	DO-BR-FL_132	DO-BR-FL_133	DO-BR-FL_138	DO-BR-FL_120	DO-BR-FL_121	DO-BR-FL_126	DO-BR-FL_108	DO-BR-FL_109	DO-BR-FL_114	DO-BR-FL_144	DO-BR-FL_145	DO-BR-FL_150	DO-BR-FL_158	DO-BR-FL_159	DO-BR-FL_164
R_1gRyGuhfW76MdVE	Default Response Set	27.06.2017 15:28	27.06.2017 15:47	1	srxpx1	female	domestic_hb	1	1	1	1	1	25	20	1	1	1	1	22	70	1	60	1	25	1	Graduate IT Support Consultant	Capita Resourcing IT	IT	19	Software Developer IT Trainer (.NET Framework)	Bridgewater Resourcing Solutions Ltd	"IT, Education"	35	Moderately unhappy	0		1										FL_109	FL_110|FL_112							
R_1mkjKu4J8wAwRPb	Default Response Set	27.06.2017 15:37	27.06.2017 15:51	1	gl7r7w	female	international_hb	1	1	1	1	1	30	30	1	1	1	1	25	25	1	60	1	25	1	Graduate Marketing Designer	Tangent international	Media	41600	System Administrator	Evolution Recruitment Solutions Ltd	IT	40	Slightly happy		3	1				FL_138		FL_141|FL_139												
R_11cOTEadfRnsmrg	Default Response Set	27.06.2017 15:35	27.06.2017 15:58	1	gw86b2	male	noask	1	1	1	1	1	23	23	1	1	1	1	24	90	1	70	1	20	1	Graduate Analyst	ReThink Recruitment	"IT, Finance"	27	Account Manager	DCM Executive Search	"IT, Finance, Sales and Marketing"	35	Neither happy nor unhappy		1	1	FL_100		FL_101|FL_103															
R_28Gt6KXeWQeMVyK	Default Response Set	27.06.2017 15:44	27.06.2017 16:01	1	f081om	female	international_ha	1	1	1	1	1	28	25	1	1	1	1	22	62	1	88	1	27	1	Lead Risk Modeller	GCS	Finance	25	Insurance Analyst	Mills Goodwin Talent Network	"IT, Finance"	40	Moderately happy	2		1							FL_121	FL_122|FL_124										
R_277DcuURBqhTRaH	Default Response Set	27.06.2017 16:06	27.06.2017 16:10	1	38424n	male	domestic_hb	1	1	1	1	1	30	22	1	1	1	1	34	60	1	60	1	20	1	Recruitment consultant	Hays	Recruitment	20	Investment manager	Mitsubishi	Finance	45	Moderately happy		0	1										FL_114		FL_117|FL_115						
R_DSGx6h9ZgqhrUB3	Default Response Set	27.06.2017 16:01	27.06.2017 16:11	1	qndwgd	male	international_ha	1	1	1	1	1	40	50	1	1	1	1	20	60	1	60	1	18	1	Account Manager	Fine Tech	Sales	35	SAP MM Lead	Montash	IT	80	Moderately happy	0		1							FL_121	FL_124|FL_122										
R_3F2wUZF9IEj8agl	Default Response Set	27.06.2017 16:03	27.06.2017 16:14	1	bq01pq	female	domestic_hb	1	1	1	1	1	22	20	1	1	1	1	20	50	1	65	1	20	1	Teaching English in China	EF English first	Education	18	Talent and Devlopment Consultant	Annapurna HR	HR	55	Slightly happy	0		1										FL_109	FL_110|FL_112							
R_3L7GaF2y1hWVeYM	Default Response Set	27.06.2017 16:06	27.06.2017 16:18	1	6m8s0x	female	domestic_hb	1	1	1	1	1	21	19	1	1	1	1	21	35	1	25	1	25	1	Graduate Marketing Design	Tangent International	"Sales and Marketing, Media"	41	Business Development Executive 	Swindale Parks Limited 	Sales and Marketing 	35	Moderately happy	0		1										FL_109	FL_112|FL_110							
R_20ZHtLjCcYkVaa9	Default Response Set	27.06.2017 16:12	27.06.2017 16:22	1	phov1o	female	international_ha	1	1	1	1	1	25	22	1	1	1	1	22	60	1	20	1	22	1	"Graduate Analyst, Excellent Academic Record"	Monarch	Finance	23	Senior Consultant	Venquis	Finance	65	Moderately unhappy		0	1							FL_126		FL_129|FL_127									
R_1hMibVpOJOAnmEL	Default Response Set	27.06.2017 16:03	27.06.2017 16:24	1	i0amuq	female	noask	1	1	1	1	1	18	17	1	1	1	1	20	75	1	90	1	18	1	Talent Acquisition Manager	Annapurna HR	HR	35000	System Administrator 	Evolution Recruitment Solutions Ltd	IT	50000	Moderately happy	0		1	FL_22	FL_98|FL_97																
R_1M4bi3SwlOH7rNK	Default Response Set	27.06.2017 16:15	27.06.2017 16:42	1	7t1iuu	female	noask	1	1	1	1	1	19	18	1	1	1	1	20	90	1	90	1	21	1	Graduate data scientist	Computer people	IT	30	Data Scientist Project Manager	JM Group	IT/Science/Consulting	50	Moderately happy		0	1	FL_100		FL_103|FL_101															
R_2znGkqQKuK9M0B1	Default Response Set	27.06.2017 16:39	27.06.2017 16:45	1	ujnj44	female	international_hb	1	1	1	1	1	25	18	1	1	1	1	18	70	1	50	1	21	1	Graduate developer	Expanding software house	It	25000	Data Analyst	Gravitas	It support	25000	Moderately unhappy		1	1				FL_138		FL_139|FL_141												
R_1LZqgim56G6k7oW	Default Response Set	27.06.2017 16:38	27.06.2017 16:47	1	g8hw29	female	international_hb	1	1	1	1	1	30	28	1	1	1	1	25	100	1	75	1	20	1	Net developer	Monarch	IT	20	Net developer	Monarch	It	30	Moderately unhappy	0		1				FL_133	FL_136|FL_134													
R_cZRaQjnrBlWEfaF	Default Response Set	27.06.2017 16:41	27.06.2017 17:01	1	ypf3ax	male	noask	1	1	1	1	1	32	32.275	1	1	1	1	18	30	1	60	1	24	1	Environmental Test Engineer	CBS Bulter	Electronics	40	Testing and QA Trainer	Testing Circle	IT	50	Neither happy nor unhappy	10		1	FL_22	FL_98|FL_97																
R_yBLf9adJjImiKkN	Default Response Set	27.06.2017 16:45	27.06.2017 17:01	1	jc373f	female	domestic_ha	1	1	1	1	1	18	18	1	1	1	1	18	70	1	70	1	20	1	Trainee Recruitment Consultant	Allegis Group	"Sales and Marketing, HR, Consulting"	22	Inside Sales Consultant - Software/Technology	Radley James Ltd	"IT, Sales and Marketing, Legal"	37	Neither happy nor unhappy		1	1													FL_150		FL_153|FL_151			
R_sMcp7EDOcjIzijD	Default Response Set	27.06.2017 16:43	27.06.2017 17:01	1	vpovho	female	noask	1	1	1	1	1	999	300	1	1	1	1	30	60	1	45	1	20	1	Graduate developer expanding software house	Software house 	It	25	Senior business analyst/project manager	It global limited 	"It, finiance"	45	Neither happy nor unhappy	2		1	FL_22	FL_97|FL_98																
R_su7VfjVh6oXT29z	Default Response Set	27.06.2017 16:53	27.06.2017 17:02	1	dy5mte	male	domestic_ha	1	1	1	1	1	25	25	1	1	1	1	25	90	1	90	1	20	1	Software dev	Spectrum	Software	25	Software engineer	RecruitmentRevoloution	Software	35	Moderately happy	0		1													FL_145	FL_146|FL_148				
R_270PA19vTxfvrQT	Default Response Set	27.06.2017 16:59	27.06.2017 17:09	1	amgykk	male	noask	1	1	1	1	1	23	25	1	1	1	1	23	65	1	50	1	22	1	Management Consultant/Turnaround and Restructuring/Banking/Operations/Retail/Agribusiness 	Innovation Brain	Consultancy	30	IT Project Manager - Lotus Notes to Office 365 - Charity Sector 	IT Flexi Team	IT	60	Neither happy nor unhappy		0	1	FL_100		FL_103|FL_101															
R_1FLmoDziSQcByXY	Default Response Set	27.06.2017 17:00	27.06.2017 17:10	1	nhq15y	male	noask	1	1	1	1	1	30	20	1	1	1	1	30	60	1	80	1	20	1	Sales Account Manager	Cisco	IT Software	30	Data Analytics Project Manager	JM Group	IT	45	Moderately unhappy		0	1	FL_100		FL_101|FL_103															
R_1nVlOT78k6VKDPT	Default Response Set	27.06.2017 17:10	27.06.2017 17:14	1	tjp4oc	female	international_hb	1	1	1	1	1	32	21	1	1	1	1	31	90	1	75	1	21	1	Digital Marketing Executive	Digital Agency	Marketing consultancy 	32	Digital marketing officer	Marketing agency	Marketing	25	Moderately unhappy		0	1				FL_138		FL_139|FL_141												
R_1mJfazTHARxtZ1G	Default Response Set	27.06.2017 17:11	27.06.2017 17:26	1	pttr1b	male	international_ha	1	1	1	1	1	19	22	1	1	1	1	19	67	1	68	1	19	1	junior data scientist	spencer rose	it	40000	junior data scientist	spencer rose	it	40000	Slightly happy		2	1							FL_126		FL_129|FL_127									
R_1MYDXtOhQISajCT	Default Response Set	27.06.2017 17:18	27.06.2017 17:28	1	191u1t	female	noask	1	1	1	1	1	30	17	1	1	1	1	19	5	1	72	1	70	1	Psychologist	Nhs	Health and social care	19	RN travel nurse	HealthTrust Workforce Solutions	Health	20	Moderately unhappy	0		1	FL_22	FL_97|FL_98																
R_2D1y9J2llaXJcZ1	Default Response Set	27.06.2017 17:28	27.06.2017 17:41	1	fvc2ww	male	domestic_ha	1	1	1	1	1	100	15	1	1	1	1	25	60	1	90	1	25	1	Graduate Analyst Job	Computer People	IT	30	"Graduate Analyst, Excellent Academic Record"	Monarch Recruitment Ltd.	IT	28	Moderately happy	0		1													FL_145	FL_148|FL_146				
R_1N4HUY4e3OOHczU	Default Response Set	27.06.2017 17:41	27.06.2017 17:50	1	keelti	female	domestic_hb	1	1	1	1	1	17	16	1	1	1	1	17	40	1	60	1	16	1	Data Scientist Project Manager	The JM Group	Science	30	Data Scientist Project Manager	The JM Group	Science	45	Extremely unhappy		0	1										FL_114		FL_115|FL_117						
R_3qxJBCEC9PWadiw	Default Response Set	27.06.2017 17:47	27.06.2017 17:56	1	aj9ya6	female	international_hb	1	1	1	1	1	35	28	1	1	1	1	35	80	1	60	1	22	1	Project Administrator - Graduate	ECS Group	Office & Admin	18	Technical trainer	Tectre Ltd	IT	40	Moderately happy	5		1				FL_133	FL_136|FL_134													
R_2U4xGDtMIx5bysa	Default Response Set	27.06.2017 18:17	27.06.2017 18:42	1	s1mn9o	female	domestic_hb	1	1	1	1	1	30	22	1	1	1	1	25	45	1	40	1	25	1	junior project managment officer	Aston carter	unknown	36	business analyst	incisive	investment managment company	80000	Slightly unhappy		0	1										FL_114		FL_117|FL_115						
R_3il1sDP449PjMfe	Default Response Set	27.06.2017 19:03	27.06.2017 19:08	1	babbu0	male	international_hb	1	1	1	1	1	19	22	1	1	1	1	23	10	1	34	1	18	1	Investment 	Sanderson 	Finance 	18	Investement	Sandersokm	Finance 	35	Slightly unhappy		0	1				FL_138		FL_139|FL_141												
R_3FL6AFSsc6ZHf70	Default Response Set	27.06.2017 19:09	27.06.2017 19:24	1	7ynp0u	female	domestic_ha	1	1	1	1	1	25	22	1	1	1	1	22	90	1	50	1	20	1	Graduate Analyst	Financial firm	Financial services	20	Business analyst/agile	InterQuest Financial Markets	"IT, Finance"	80	Neither happy nor unhappy		0	1													FL_150		FL_153|FL_151			
R_1NkXrlh0tqHOq4u	Default Response Set	27.06.2017 19:17	27.06.2017 19:24	1	qhmb6q	female	domestic_ha	1	1	1	1	1	27	27	1	1	1	1	18	80	1	92	1	19	1	B2C customer credit control	Interaction recruitment ltd	Financial services	18	Graduate analyst	Monarch recruitment ltd	Financial services	25	Slightly happy	0		1													FL_145	FL_148|FL_146				
R_8cVT2zJdNR9t9Pb	Default Response Set	27.06.2017 19:13	27.06.2017 19:27	1	geiff7	male	international_ha	1	1	1	1	1	20	16	1	1	1	1	20	75	1	70	1	16	1	Technical Trainer	 Tectre Limited	" IT, Education"	40	Data Scientist Project Manager	 JM Group	" IT, Science, Consulting"	50	Slightly unhappy	0		1							FL_121	FL_124|FL_122										
R_1Fzx6lPBOLS5Vyl	Default Response Set	27.06.2017 19:37	27.06.2017 19:47	1	8cyduw	male	international_ha	1	1	1	1	1	20	18	1	1	1	1	21	60	1	70	1	19	1	Junior SQL developer	Harvey nash	Business	23	Software developer	Computer peoplr	It	30	Slightly happy		0	1							FL_126		FL_127|FL_129									
R_29bkiUEGKqq1AyQ	Default Response Set	27.06.2017 20:05	27.06.2017 20:18	1	pi724b	female	noask	1	1	1	1	1	15	18	1	1	1	1	18	60	1	25	1	20	1	Entry level business development representative	Kerr Recruitment 	Marketing	25	Graduate development lead	Annapurna HR	Finance	65	Moderately happy	0		1	FL_22	FL_98|FL_97																
R_3sivV4tmnAm2CSE	Default Response Set	27.06.2017 20:19	27.06.2017 20:36	1	yfqsd	female	international_hb	1	1	1	1	1	25	24	1	1	1	1	25	86	1	80	1	21	1	SAP Junior/Graduate Project Manager 	BOSS Professional Service	IT	25000	Graduate Development Lead	Annapurna HR	Finance 	90	Moderately happy	0		1				FL_133	FL_134|FL_136													
R_3J4WI3R2AYM2HPf	Default Response Set	27.06.2017 20:43	27.06.2017 20:49	1	d2znk9	male	domestic_hb	1	1	1	1	1	30	25	1	1	1	1	34	50	1	70	1	30	1	hfjnvfjv	tvev	etbt	40	hr	teh	eth	30	Slightly happy	0		1										FL_109	FL_112|FL_110							
R_22QUA3vF4ZireXB	Default Response Set	27.06.2017 20:58	27.06.2017 21:21	1	aik96b	female	noask	1	1	1	1	1	30	30	1	1	1	1	25	70	1	40	1	26	1	Graduate Recruitment Consultant - Reading	Rocsearch	recruitment	27	Compensation and Benefit advisors	Tech Mahindra	IT	48	Neither happy nor unhappy		0	1	FL_100		FL_103|FL_101															
R_3dX0aNtj9F9j9EF	Default Response Set	27.06.2017 15:26	27.06.2017 21:22	1	fz3ckd	male	international_hb	1	1	1	1	1	20	18	1	1	1	1	20	50	1	55	1	25	1	Sales Account Manager	Cisco	Sales	30000	Account Manager	Fintech	Finance	35000	Slightly happy		0	1				FL_138		FL_139|FL_141												
R_10qSD9feRhCnbyI	Default Response Set	27.06.2017 21:24	27.06.2017 21:37	1	gcy7ny	female	noask	1	1	1	1	1	30	35	1	1	1	1	25	25	1	45	1	25	1	Graduate Development Lead	Annapurna HR	Finance	70	Graduate Development Lead	Annapurna 	Finance	70	Neither happy nor unhappy	0		1	FL_22	FL_98|FL_97																
R_2w1dQ95WA62OTiP	Default Response Set	27.06.2017 22:01	27.06.2017 22:13	1	4rqdta	female	international_hb	1	1	1	1	1	999	600	1	1	1	1	999	30	1	50	1	21	1	Accounts assistant	Client	Finance	18	Accounts assistant	Client	Finance	24	Moderately unhappy	10		1				FL_133	FL_136|FL_134													
R_114OCqhJk777mdD	Default Response Set	27.06.2017 22:53	27.06.2017 23:08	1	ivw8g0	female	domestic_ha	1	1	1	1	1	999	999	1	1	1	1	999	10	1	55	1	999	1	Trainee business manager	Ici	Chemical	22000	"Software Project Manager (SCRUM C++ Java Desktop Systems QA) Walton-on-Thames, Surrey, UK - 45K-52K + Excellent Benefits"	Areospace	Softwear	45000	Slightly unhappy		10	1													FL_150		FL_153|FL_151			
R_1pRqemXMVs2dZzQ	Default Response Set	27.06.2017 23:38	27.06.2017 23:56	1	6qhp96	female	noask	1	1	1	1	1	25	"20,000"	1	1	1	1	25	80	1	80	1	25	1	Graduate opportunity - Client Support Analyst - FX - Banking - Broker	Kite Consulting Group Limited	IT	30	Senior Consultant	Venquis Limited	Finance	60	Neither happy nor unhappy		5	1	FL_100		FL_101|FL_103															
R_1irQcYGU4hK8uiN	Default Response Set	28.06.2017 00:22	28.06.2017 00:38	1	4dsso8	female	domestic_hb	1	1	1	1	1	40	24	1	1	1	1	20	20	1	85	1	20	1	"BackShareAdd To BasketApply CCNA/CCNP Graduate, Global NOC/Helpdesk - French/German/Italian- Global Telecoms"	Global telecoms	Telecommunications	26	Accounts Assistant- London- Italian Speaking	Links ltd	Finance	18	Slightly unhappy		0	1										FL_114		FL_115|FL_117						
R_1Lbs9nndu3rrLF8	Default Response Set	28.06.2017 00:21	28.06.2017 00:39	1	25j3s6	male	international_ha	1	1	1	1	1	40	20	1	1	1	1	14	68	1	70	1	12	1	Assurance Trainee	PwC	Accounting&Finance	22	 Group Administrator/Team Administrator	Deloitte	Audit&Assurance	40	Slightly happy	0		1							FL_121	FL_122|FL_124										
R_1jfwFGlkyTZcREa	Default Response Set	28.06.2017 05:46	28.06.2017 05:55	1	3obphm	female	domestic_ha	1	1	1	1	1	23	22	1	1	1	1	21	60	1	60	1	21	1	Administrator PA Executive Assistant Office Manager London	Joseph Harry	Office and Admin	26	Talent Acquisition Manager	Annapurna HR	hr	40	Moderately happy	1		1													FL_145	FL_146|FL_148				
R_5mx82aKTMn23mSZ	Default Response Set	28.06.2017 06:43	28.06.2017 06:45	1	k7t2z8	male	domestic_ha	1	1	1	1	1	999	555	1	1	1	1	500	50	1	60	1	900	1	Financial Analyst	JPMorgan	banking	30000	financial analyst	jpmorgan	banking 	30000	Moderately happy		6	1													FL_150		FL_153|FL_151			
R_2AR917drPiRQkHH	Default Response Set	28.06.2017 08:45	28.06.2017 09:02	1	sd6pqe	female	international_hb	1	1	1	1	1	25	22	1	1	1	1	25	80	1	70	1	26	1	Project Manager - R&D	DePuy	Science 	30	Innovation Programme Manger	PSD Group	IT	55	Moderately happy	0		1				FL_133	FL_134|FL_136													
R_Tu8LfmNciXiDoc1	Default Response Set	27.06.2017 15:45	28.06.2017 09:18	1	gwvr66	female	noask	1	1	1	1	1	28	22	1	1	1	1	22	50	1	70	1	20	1	Admin PA Executive Assistant	Joseph Harry	IT Recruitment	30	Business Analyst	Incisive	Global investment management company	70000	Moderately happy	0		1	FL_22	FL_98|FL_97																
R_1BQ0ClKZryPLB33	Default Response Set	27.06.2017 16:06	28.06.2017 09:21	1	chm9o9	female	international_hb	1	1	1	1	1	25	25	1	1	1	1	21	64	1	60	1	18	1	Business Interest Trainer	Texture Ltd	"IT, Business "	35000	Senior consuktant	Venquis	Financr	65000	Moderately happy		0	1				FL_138		FL_139|FL_141												
R_1f2ABcSGcVkgXBj	Default Response Set	28.06.2017 10:11	28.06.2017 10:27	1	rhehux	female	international_hb	1	1	1	1	1	25	"21,000"	1	1	1	1	22	80	1	50	1	18	1	Technical Author - Graduate/Junior	Edissero Ltd	IT	22000	Bi - Lingual Data Analyst	Hays Specialist Recruitment	IT	25000	Slightly unhappy		0	1				FL_138		FL_139|FL_141												
R_2pWxzrR3H94WO4Z	Default Response Set	28.06.2017 10:26	28.06.2017 10:32	1	mezcbd	female	noask	1	1	1	1	1	999	56	1	1	1	1	100	20	1	99	1	100	1	Professor	University of Essex	Education	200	e	e	e	200	Moderately happy		1	1	FL_100		FL_103|FL_101															
